Host Id,Host Since,Name,Neighbourhood ,Property Type,Review Scores Rating (bin),Room Type,Zipcode,Beds,Number of Records,Number Of Reviews,Price,Review Scores Rating
621470,5/24/2011,Designer 1 bedroom on Park block,Manhattan,Apartment,95,Entire home/apt,10023,2,1,16,299,95
17258663,6/25/2014,"Williamsburg, Brooklyn, NYC",Brooklyn,Apartment,,Private room,11211,1,1,0,70,
27553228,2/10/2015,Pristine and Classic Brooklyn Apt.,Brooklyn,Apartment,90,Entire home/apt,11225,2,1,18,126,92
22719655,10/19/2014,Two bedroom apartment (L train),Brooklyn,Apartment,80,Entire home/apt,11237,2,1,3,110,80
4967515,2/4/2013,Sunlit Central Park Studio,Manhattan,Apartment,85,Entire home/apt,10024,2,1,13,150,89
3525826,9/10/2012,"(L) Room In A Family House, NYC !!!",Manhattan,Apartment,70,Private room,10033,1,1,22,50,72
170510,7/18/2010,"Private, Large & Sunny 2BR w/W&D",Brooklyn,Apartment,90,Entire home/apt,11216,3,1,142,165,91
13063904,3/12/2014,Seaside Studio,Brooklyn,Apartment,95,Entire home/apt,11249,2,1,2,150,99
8638777,9/4/2013,Victorian Style Room in Townhouse!,Manhattan,House,95,Private room,10027,1,1,41,85,96
6994309,6/19/2013,Gemütliches Apartment in SoHo,Manhattan,Apartment,80,Entire home/apt,10012,1,1,6,202,84
36894011,6/27/2015,Artist's Ft Greene Best Brownstone,Brooklyn,House,,Entire home/apt,11217,6,1,0,750,
723828,6/20/2011,Beautiful and Spacious Brownstone,Brooklyn,Apartment,,Private room,11213,2,1,0,70,
6039771,4/22/2013,"Private room, Brighton Beach",Brooklyn,Apartment,65,Private room,11235,1,1,2,65,65
17309971,6/26/2014,The Attic,Queens,House,100,Private room,11412,1,1,4,49,100
22284170,10/8/2014,Upper East Side Studio Central Park,Manhattan,Apartment,,Shared room,10128,1,1,0,50,
1961551,3/18/2012,Long-Term Let in Lefferts Garden,Brooklyn,Apartment,,Entire home/apt,11226,1,1,0,85,
1808568,2/25/2012,Private room/living room,Brooklyn,Apartment,80,Private room,11206,1,1,2,60,80
2788488,6/30/2012,Clean 2 Bedroom Brooklyn Apartment,Brooklyn,Apartment,95,Entire home/apt,11221,2,1,11,90,96
3972617,10/25/2012,Upper east side luxury bog!!,Manhattan,Apartment,,Private room,10128,1,1,0,175,
5755982,4/3/2013,APT w/Private Backyard in Manhattan,Manhattan,Apartment,85,Entire home/apt,10027,2,1,33,165,88
31480564,4/18/2015,Sunny apt in the Lower East Side,Manhattan,Apartment,,Entire home/apt,10002,1,1,0,184,
42942854,8/30/2015,Super spacious studio--Very clean,Manhattan,Apartment,,Entire home/apt,10065,1,1,0,199,
6230230,5/5/2013,Live like a New Yorker! Sunny 2 Bed,Manhattan,Apartment,,Entire home/apt,10002,2,1,0,118,
2593268,6/10/2012,LES 3 BED 3 BATH 2 Patios Elevator,Manhattan,Apartment,90,Entire home/apt,10002,4,1,21,495,90
1261480,10/7/2011,"GREAT LOCATION, ART  GALLERY&GARDEN",Manhattan,Bed & Breakfast,95,Private room,10027,2,1,17,165,95
32908315,5/8/2015,Amazing High Ceilings Studio in NY,Manhattan,Apartment,90,Entire home/apt,10001,2,1,9,130,91
1536441,12/26/2011,Charming Artist's Home in Brooklyn,Brooklyn,Apartment,85,Entire home/apt,11215,3,1,13,240,86
33929905,5/21/2015,A beautiful and friendly beach area,Brooklyn,Apartment,100,Entire home/apt,11235,1,1,1,125,100
31697949,4/22/2015,Charming Prime Park Slope Room,Brooklyn,Apartment,,Private room,11215,1,1,1,55,
2053408,4/2/2012,Semi-Private Room near Central Park,Manhattan,Apartment,,Shared room,10029,1,1,0,49,
38614070,7/15/2015,CUARTO PRIVADO LIMPIO Y DE FAMILIA,Queens,House,85,Private room,11372,1,1,3,66,87
304262,11/29/2010,LES Dream! Spacious pad on the park,Manhattan,Apartment,100,Entire home/apt,10002,1,1,6,235,100
24090806,11/23/2014,New Budget Room #R3,Brooklyn,Apartment,85,Private room,11207,1,1,30,49,87
24915465,12/16/2014,Spacious 1BR By Prospect Park,Brooklyn,Apartment,90,Entire home/apt,11225,1,1,25,129,94
28257071,2/23/2015,Renovated & Spacious! Super Deal!,Manhattan,Apartment,80,Entire home/apt,10031,4,1,1,130,80
2938550,7/15/2012,NY City for the 4th of July!,Manhattan,Apartment,,Entire home/apt,10019,2,1,0,300,
2259113,4/30/2012,Dope Williamsburg Location,Brooklyn,Apartment,100,Private room,11211,1,1,3,70,100
905297,8/1/2011,Beautiful home to relax in,Brooklyn,Apartment,100,Entire home/apt,11238,1,1,5,142,100
3341356,8/22/2012,"Big, Bright Fort Greene Apartment!",Brooklyn,Apartment,100,Entire home/apt,11205,1,1,1,100,100
1866827,3/5/2012,BRIGHT CHARMING RAILROAD APARTMENT,Brooklyn,Apartment,100,Entire home/apt,11206,2,1,3,150,100
7291745,7/4/2013,"Large bedroom, walk to UN,Times Sq.",Manhattan,Apartment,80,Private room,10016,2,1,22,145,83
8291182,8/20/2013,1 BR In the East 50s of Manhattan,Manhattan,Apartment,90,Entire home/apt,10022,1,1,4,140,93
1217923,9/27/2011,Your Home Away from Home in NYC,Brooklyn,Apartment,80,Entire home/apt,11216,6,1,9,149,80
22534207,10/14/2014,Cozy Harlem Stay,Manhattan,Apartment,100,Private room,10037,1,1,2,75,100
1510984,12/16/2011,MODERN LUXURY STUDIO - TIMES SQUARE,Manhattan,Apartment,95,Entire home/apt,10019,1,1,12,285,96
23781431,11/15/2014,Spacious Bedroom in Brooklyn!,Brooklyn,Apartment,85,Private room,11215,1,1,5,65,85
932698,8/6/2011,Sunny Duplex in Harlem Brownstone,Manhattan,Apartment,,Private room,10027,2,1,0,95,
10701368,12/18/2013,Chelsea 720 sq ft apartment,Manhattan,Apartment,100,Entire home/apt,10001,1,1,4,200,100
24630374,12/8/2014,A Cozy Studio in Clinton Hill,Brooklyn,Apartment,100,Entire home/apt,11238,1,1,4,110,100
1628609,1/19/2012,Beautiful Entire Apt Greenwich Vlge,Manhattan,Apartment,90,Entire home/apt,10009,3,1,18,475,93
137814,6/3/2010,Room with En Suite Bathroom & Deck,Brooklyn,Apartment,85,Private room,11238,1,1,242,85,89
34003247,5/22/2015,Spacious 1 bedroom with doorman!!,Manhattan,Apartment,,Entire home/apt,10002,1,1,0,200,
1982425,3/21/2012,ROOM AVAILABLE NEAR TIMES SQUARE,Manhattan,Apartment,80,Private room,10018,1,1,10,130,80
39864924,7/28/2015,Charming Chelsea One Bedroom,Manhattan,Apartment,90,Entire home/apt,10011,1,1,2,200,90
3561989,9/13/2012,Private Room in WILLIAMSBURG,Brooklyn,Apartment,70,Private room,11211,1,1,3,68,73
13135117,3/14/2014,Modern Garden Apartment,Brooklyn,Apartment,90,Private room,11216,1,1,12,85,90
12122046,2/10/2014,Crash pad for Women Only (13),Queens,House,,Shared room,11369,1,1,0,45,
1693031,2/3/2012,Perfectly Renovated Flat 10 min NYC,Brooklyn,Apartment,70,Entire home/apt,11220,3,1,4,160,70
9005019,9/23/2013,A Great time in NYC!!,Manhattan,Apartment,95,Entire home/apt,10009,2,1,7,220,97
19049159,7/28/2014,Beautiful artist loft in Brooklyn,Brooklyn,Tent,,Private room,11221,1,1,0,250,
11395220,1/17/2014,"Charming, Bright, Airy One Bedroom",Manhattan,Apartment,95,Entire home/apt,10003,,1,28,200,95
3744820,10/3/2012,East Village | Two,Manhattan,Apartment,90,Private room,10009,1,1,57,110,90
4282318,11/29/2012,Beds Bikes Breakfast on The Park,Brooklyn,Apartment,80,Private room,11225,2,1,27,45,84
481440,4/3/2011,COUCH BED IN CENTER OF NYC,Manhattan,Apartment,,Shared room,10001,1,1,0,188,
12119624,2/10/2014,Cozy Queen Crown Heights Brownstone,Brooklyn,House,80,Private room,11216,1,1,3,75,80
13997794,4/7/2014,Quant Apt. 25 Minutes From The City,Queens,House,95,Entire home/apt,11375,1,1,21,108,95
9238069,10/5/2013,Beautiful Apt/Amazing East Village,Manhattan,Apartment,100,Entire home/apt,10009,2,1,14,185,100
2636754,6/14/2012,Heart of Williamsburg PRIVATE APT !,Brooklyn,Apartment,85,Entire home/apt,11249,2,1,28,129,87
9769764,11/2/2013,Historical Cozy Home in Bushwick,Brooklyn,Apartment,,Private room,11221,1,1,0,50,
2674592,6/18/2012,Fantastic 3 BR NYC Apt - Sleeps 6+,Manhattan,Apartment,80,Entire home/apt,10031,3,1,5,222,84
22613393,10/16/2014,Visiting NY? Need a place to stay?,Queens,Apartment,,Private room,11101,1,1,0,200,
18655157,7/22/2014,Cozy bed in Midtown ( Female only),Manhattan,Apartment,,Shared room,10016,1,1,0,65,
21785284,9/25/2014,Your cosy  bedroom in  a 2 bedroom,Brooklyn,Apartment,70,Private room,11231,1,1,7,80,74
25217501,12/26/2014,TimesSquare Area: NEW Dream Apt W/D,Manhattan,Apartment,,Entire home/apt,10019,1,1,0,219,
1389487,11/9/2011,Lovely upper east side studio,Manhattan,Apartment,95,Entire home/apt,10028,1,1,4,149,95
5851237,4/9/2013,Private Bedroom in Elevator Duplex,Manhattan,Apartment,,Private room,10002,1,1,0,120,
425176,3/6/2011,Spectacular 1BR Upper West Side apt,Manhattan,Apartment,90,Entire home/apt,10025,2,1,8,250,93
20286123,8/19/2014,Cozy Artist Space,Manhattan,Apartment,95,Entire home/apt,10031,1,1,11,135,96
33605216,5/17/2015,Single room in Riverside Suite,Manhattan,Apartment,100,Private room,10032,1,1,2,60,100
10183117,11/21/2013,Chic pad steps from Prospect Park,Brooklyn,Apartment,70,Entire home/apt,11225,1,1,4,68,70
38759129,7/17/2015,Seigal Bunk,Brooklyn,Loft,100,Shared room,11206,1,1,2,39,100
7691955,7/24/2013,Large sunny private room downtown,Manhattan,Apartment,,Private room,10002,1,1,0,45,
18088187,7/14/2014,Brooklyn Room with Rooftop Garden,Brooklyn,Apartment,90,Private room,11216,1,1,6,80,90
11093477,1/7/2014,"10 min ride to Times SQ, Sleeps 7!",Manhattan,Apartment,75,Entire home/apt,10029,3,1,38,195,79
30059838,3/26/2015,Room in a 2 bed. appartment Astoria,Queens,Apartment,,Private room,11102,1,1,0,50,
2790803,6/30/2012,"Beautiful loft in Greenpoint, in BK",Brooklyn,Loft,80,Private room,11222,1,1,1,75,80
1331566,10/24/2011,HUGE full floor loft on The Bowery!,Manhattan,Apartment,90,Entire home/apt,10002,3,1,25,650,91
2756246,6/27/2012,Stylish 1BR with Skyline Views,Manhattan,Apartment,100,Entire home/apt,10036,1,1,3,295,100
12924608,3/8/2014,Top Floor Beauty with great view,Manhattan,Apartment,90,Entire home/apt,10031,1,1,4,190,93
5162192,2/20/2013,2-3 bedroom UWS garden triplex,Manhattan,Apartment,60,Entire home/apt,10025,4,1,2,450,60
283395,11/10/2010,Single Room for 1 in Artist's Loft,Manhattan,Apartment,90,Private room,10016,1,1,111,110,90
19032650,7/28/2014,1 bd w/skylight & Empire State view,Manhattan,Apartment,95,Entire home/apt,10016,2,1,9,160,95
22384579,10/10/2014,Cozy 1BD in Brooklyn,Brooklyn,Apartment,95,Private room,11214,2,1,6,64,97
34576246,5/30/2015,Pull Out Sofa \ bed In Living Room,Manhattan,Apartment,40,Shared room,10018,1,1,1,68,40
40388159,8/3/2015,Bushwick loft 1 block to subway,Brooklyn,Apartment,,Entire home/apt,11237,2,1,0,175,
4888599,1/29/2013,HELL'S KITCHEN STUDIO for 2 or 3,Manhattan,Apartment,90,Entire home/apt,10019,1,1,61,179,90
21656139,9/22/2014,Right by Herald Square,Manhattan,Apartment,,Private room,10001,1,1,0,150,
1118139,9/6/2011,Luxury 2bdr 2bath in Tribeca,Manhattan,Apartment,,Entire home/apt,10007,2,1,0,300,
4129231,11/12/2012,Mammoth 3Bed-3Bath LOFT/Mulberry St,Manhattan,Loft,95,Entire home/apt,10013,4,1,92,649,95
34287952,5/26/2015,PRIVATE Room w/ FULL Bathroom!,Manhattan,Apartment,,Private room,10005,1,1,0,179,
3558557,9/13/2012,Whole 1BD Apt in Prime Williamsburg,Brooklyn,Apartment,90,Entire home/apt,11211,2,1,2,100,90
2027766,3/28/2012,Charming Bedroom on LES,Manhattan,Apartment,75,Private room,10002,1,1,5,130,75
5121869,2/17/2013,Stylish + Roomy 1BR in Midtown,Manhattan,Apartment,85,Entire home/apt,10016,1,1,27,240,87
3221335,8/10/2012,Midtown West! 3 BDR Apartment. NYC,Manhattan,Apartment,90,Entire home/apt,10019,3,1,73,300,93
